fen,phase,move_number,turn,material_diff
r1bqkbnr/ppp1pppp/2n5/4P3/3p4/2P2N2/PP1P1PPP/RNBQKB1R b KQkq - 0 4,opening,8,black,0
r1b1kb1r/ppp2ppp/2n2n2/3pp1q1/8/1P2P1PB/PBPP1P1P/RN1QK1NR w KQkq - 3 6,middlegame,11,white,0
r4rk1/ppp2ppp/2n2n2/4p1q1/3p4/1PB1P1PB/P2PKPQP/RN5R w - - 0 12,middlegame,23,white,2
4rrk1/pQB2ppp/5n2/4p3/8/1P2K1PB/P1n2P1P/RN5R w - - 1 17,middlegame,33,white,12
6r1/p1k2r1p/1p1p1Bp1/2pBp1P1/P1n2p2/2P2P1P/4RP2/3R1K2 b - - 1 31,middlegame,62,black,1
6B1/p1k4p/1p1p1rp1/2p1p1P1/P1n2p2/2P2P1P/4RP2/3R1K2 b - - 0 32,endgame,64,black,3
2k2rr1/p6p/1p1ppBp1/n1p2p2/P1P3P1/2P2P1P/4BP2/1R3RK1 w - - 2 22,middlegame,43,white,2
r3k2r/ppq2p2/2nb1pp1/4p3/2QP4/1BP5/PP3PPP/R1B1K2R b KQkq - 2 15,middlegame,30,black,1
r2qk2r/pp3p2/2nb1pp1/4p3/2QP4/2P5/PPB2PPP/R1B1K2R b KQkq - 0 14,middlegame,28,black,1
rn1qkb1r/ppp2pp1/4pnp1/3p4/3P4/3BP3/PPP1QPPP/RNB1K2R b KQkq - 1 7,middlegame,14,black,0
r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 5,opening,9,white,-1
r1bqk1nr/ppp2ppp/1bnp4/8/2BPP3/B4N2/P4PPP/RN1Q1RK1 b kq - 0 9,middlegame,18,black,-1
r1bqk1nr/ppp2ppp/1bnp4/4p3/2BPP3/2P2N2/P4PPP/RNBQ1RK1 w kq - 1 8,middlegame,15,white,-1
1b2Q1rk/4P2p/p7/1p3P2/4q1P1/2P5/PP6/3K4 w - - 1 42,endgame,83,white,-5
1b2r2k/3Q3p/p3P2q/1p3Pr1/4R1P1/2P5/PP4KP/8 w - - 5 37,endgame,73,white,-4
r1b2rk1/1p1qbppp/p1n1pn2/3p4/B2P1B2/2N2N2/PPPQ1PPP/R3R1K1 b - - 1 13,middlegame,26,black,0
8/3k4/1p1p3r/p1p2Kp1/1P5b/8/8/R7 b - - 0 42,endgame,84,black,-7
r3kb1r/ppp2ppp/3pn3/8/8/1P1K1PPN/P1P4P/RN2R3 w kq - 2 16,middlegame,31,white,-1
r3kb1r/ppp2ppp/3pn3/8/3n4/1PB2PPN/P1P1K2P/RN2R3 w kq - 5 14,middlegame,27,white,-1
3r1rk1/pp4p1/2n1p2p/2pp4/4p2q/1PP5/P1P1QPPN/2KR3R w - - 0 18,middlegame,35,white,-2
3r1rk1/pp4p1/2n1p2p/2pp2q1/4p1N1/1PP5/PKP1QPP1/3R3R b - - 3 19,middlegame,38,black,-2
rnbqkb1r/pppppppp/8/8/4n3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,opening,6,black,-1
8/pr2k3/4p1p1/2p3P1/2PpKP2/8/P1R5/8 w - - 1 38,endgame,75,white,-1
r1b1k2r/p3qp1p/3pp1p1/1Qp5/1p1bPP2/8/PPPB2PP/2KR1B1R b kq - 1 16,middlegame,32,black,-1
r2r2k1/pQ1bqp1p/3pp1p1/1Bp5/1p1bPP2/8/PPPB2PP/2KR3R w - - 6 19,middlegame,37,white,-1
2kr2nr/pp3ppp/2p1p3/2q5/3RP3/1QN1K3/PP3PPP/7R b - - 5 17,middlegame,34,black,-1
r2qk1nr/ppp2ppp/2n1p3/3p4/1b1P4/3PPN2/PP1B1PPP/RN1QK2R w KQkq - 1 7,middlegame,13,white,0
r3k1nr/ppp2ppp/3qp3/8/4P3/2N1K3/PPQ2PPP/R6R w kq - 1 14,middlegame,27,white,-1
6k1/1p3Np1/4B2p/p7/6n1/4P1Pn/P2P3P/6Kb w - - 0 31,endgame,61,white,-2
8/6K1/2k5/1p6/1Q6/4P3/8/8 w - - 0 58,endgame,115,white,9
8/1p2k1p1/8/p2P4/4K3/3nP1P1/P6P/8 b - - 4 41,endgame,82,black,-1
4rrk1/p1p2ppp/2N1b3/2Qp4/5B2/2N5/PPP3PP/R4K1n b - - 2 16,middlegame,32,black,6
r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,opening,8,black,0
5r1k/p1Q1Nppp/4b3/3p4/5B2/2N5/PPP3PP/5K1n b - - 0 20,middlegame,40,black,7
r2qk2r/pp2bppp/2npbn2/2p1p3/2P1P3/P1NP1N1P/1P2BPP1/R1BQK2R b KQkq - 0 8,middlegame,16,black,0
